object_id,time,feature1,feature2
1,1,0.3142805189379827,0.13577781093502292
2,1,0.31561826022689404,0.09121964642790034
3,1,0.362664250271464,0.2147177745066891
4,1,0.33069450678023515,0.08204591130376392
5,1,0.3041338719279849,0.11555456232441863
6,1,0.24999933533728005,0.24056338182918233
7,1,0.39931139850789105,0.058911276490086595
8,1,0.3720322074572582,0.170638122193637
9,1,0.2763211971838236,0.10672364358134302
10,1,0.3349929694269912,0.14136623021166111
11,1,0.3371722970949189,0.1823692640104702
12,1,0.22659562894244256,0.20356756278879812
13,1,0.3964826498022382,0.24387763208098376
14,1,0.32266536410934177,0.05885212657292417
15,1,0.20081102883168148,0.07679450540982677
1,2,0.38820045427916683,0.11057211240581445
2,2,0.2732291203320853,0.22963924890783766
3,2,0.26287276099129014,0.1597964368024811
4,2,0.28720619152482446,0.0629988352253701
5,2,0.31690924514038604,0.21881357953238043
6,2,0.23128378367748126,0.09485979373720829
7,2,0.2825740415429681,0.05738497381172579
8,2,0.2993206997233096,0.21359657288592637
9,2,0.3315781877518218,0.1566967471305544
10,2,0.37102514815472,0.0799376269942803
11,2,0.3134470953726248,0.12483496354961778
12,2,0.3202609094227279,0.07258314037888723
13,2,0.35510254021456555,0.06932116663687052
14,2,0.23327274915864948,0.21148995040495114
15,2,0.38953878484469817,0.13664630051029716
1,3,0.2828161663496602,0.09909637522815101
2,3,0.2549406783931154,0.17345055419483327
3,3,0.23569208214414505,0.07389650086615542
4,3,0.2911469717362076,0.08298756131592643
5,3,0.3297449662432454,0.21421113487229937
6,3,0.3555022778750799,0.1460266780448695
7,3,0.2695142512441634,0.13694210979888688
8,3,0.20100171498186964,0.19251464015792746
9,3,0.26633144452709906,0.11388464755210678
10,3,0.2159850064840425,0.1396111852002032
11,3,0.3165697934601188,0.12811738836857678
12,3,0.37390910907948055,0.18467064334970257
13,3,0.24828164836216096,0.15507076977531803
14,3,0.3821067635293195,0.15402193886428256
15,3,0.32042097374778983,0.06255472476230418
1,4,0.29787722330435285,0.14228825255928687
2,4,0.28022597601378046,0.13408707162930442
3,4,0.31698700986687917,0.15773340968462862
4,4,0.29797915175818723,0.08315928810644152
5,4,0.28826936349071747,0.2437356397121885
6,4,0.28303473864356654,0.05706356595756622
7,4,0.20056608533647405,0.15708369026324256
8,4,0.21011458836441926,0.06854868106843834
9,4,0.2217512825253938,0.14081566606976395
10,4,0.39853761315275077,0.14701107016101425
11,4,0.29172805676167685,0.13730216290742372
12,4,0.30022243696845113,0.13941749385480484
13,4,0.3452430401133322,0.22958830712546377
14,4,0.3395740694675534,0.1346621205335481
15,4,0.32990582364747506,0.23190811950473372
1,5,0.23072546830719892,0.09746849138000885
2,5,0.3238224000228935,0.18740398912963016
3,5,0.3285200445423559,0.16770571257966557
4,5,0.3658846387690742,0.14578859064713537
5,5,0.36151777225192766,0.2424711693767913
6,5,0.287071336584113,0.22176911569616276
7,5,0.3436484758396615,0.22773629887259988
8,5,0.20924717723912867,0.2326197289684727
9,5,0.3533677071089719,0.24247578547239798
10,5,0.396263871813884,0.10709714615737403
11,5,0.3340002633293361,0.07825470620540446
12,5,0.31902655273775743,0.23391593513913428
13,5,0.23839466420688668,0.11997373727343102
14,5,0.2159491354100014,0.08893126312903522
15,5,0.24154053328376052,0.0692001859610924
1,6,0.39993960754350405,0.22750679099888146
2,6,0.2927519945251534,0.19874048941047787
3,6,0.3390473586728232,0.1544909219778694
4,6,0.2846973589772318,0.1828146647564244
5,6,0.31110397459344064,0.1031779655777374
6,6,0.2728651093183867,0.17545335260445566
7,6,0.3254257783409172,0.09191875222903213
8,6,0.32195459814140676,0.2249857520786563
9,6,0.3742674899281777,0.18045266151389588
10,6,0.21403453465145217,0.13470361798572442
11,6,0.21780445698482812,0.06104995958209705
12,6,0.25093961709770873,0.1413747525575327
13,6,0.35187990098240984,0.17576830796814877
14,6,0.2564969203869714,0.1890138123840115
15,6,0.30130139216689933,0.1515059231341426
1,7,0.25272441268646606,0.1383291373245402
2,7,0.268305174036293,0.1953092787818026
3,7,0.2965193061619845,0.13935311563801225
4,7,0.29540161875961374,0.14598227453820323
5,7,0.33792774012656074,0.1939695378646527
6,7,0.3602193947465343,0.13105137632917985
7,7,0.35870797212199773,0.24294518918234545
8,7,0.3984698823328975,0.1941311203900557
9,7,0.21309772967626764,0.21945730557076493
10,7,0.36729139433231034,0.053263563799519034
11,7,0.26553314574279924,0.11441944401542667
12,7,0.3480884244986409,0.1720612576216201
13,7,0.25646440924069397,0.08727311229832078
14,7,0.23370607839185464,0.06909064584390306
15,7,0.3581145477550206,0.23714714952307786
1,8,0.24397526766364133,0.1989825383929748
2,8,0.39022874447950034,0.08834544505108811
3,8,0.3143788903711438,0.13786253618436284
4,8,0.39497218549930035,0.2239183822176411
5,8,0.20320962278914306,0.09026545485756451
6,8,0.3695968149424135,0.1648482146721865
7,8,0.30456386347508035,0.21196271563182995
8,8,0.3528083410423535,0.2409492698842276
9,8,0.26533964853025177,0.0595308060312779
10,8,0.3384565570626518,0.0600276098199945
11,8,0.3130358448117471,0.22194727053518912
12,8,0.27940564799988443,0.17023176794999537
13,8,0.2342860322784101,0.08154714125009616
14,8,0.3212110143740808,0.22289663306683716
15,8,0.39996759319942804,0.056227746192979225
16,1,0.7841964655171303,0.4322236508212533
17,1,0.6698711336973414,0.4094829330433057
18,1,0.7155778912915404,0.3995393771822109
19,1,0.629101794844828,0.5031126806806684
20,1,0.7412978879672412,0.45197098799290614
21,1,0.744511806133263,0.5272051808300149
22,1,0.6350185801890277,0.49483375344213765
23,1,0.7644608614220415,0.39866956495590217
24,1,0.7117553182137241,0.42167902080452363
25,1,0.6388672517195825,0.416579514505199
26,1,0.6305117741843219,0.516440624088286
27,1,0.6374926755429116,0.45677629022319316
28,1,0.7140025011133659,0.5249315308176183
29,1,0.7587196199610123,0.4020381730185701
30,1,0.6752232476476672,0.33997962445826085
31,1,0.6103675457321003,0.3921946885531349
32,1,0.7899661484708171,0.33990840879082385
33,1,0.6353486479813494,0.4572372224398832
34,1,0.6720923629939127,0.3671154059508962
35,1,0.7894769696150878,0.33855386912198093
16,2,0.7196119260242991,0.4157537851896006
17,2,0.6690675776593988,0.36898619635651353
18,2,0.6325618776207828,0.4111254736912942
19,2,0.750469164495622,0.42364533862634773
20,2,0.7554632266286778,0.5057324681242155
21,2,0.6346212474008832,0.5059303497913454
22,2,0.7162807192000517,0.41412754707505595
23,2,0.7026711518194659,0.5079933597100538
24,2,0.6783930658836047,0.3488586166450461
25,2,0.7919477415281033,0.3536757237241376
26,2,0.6213654628733573,0.47433869963705266
27,2,0.6621676545191743,0.3879931803548133
28,2,0.7299086538693116,0.5082912822053887
29,2,0.6691164550686628,0.5114430915144279
30,2,0.7239484674858961,0.4515657565661305
31,2,0.7065053750434857,0.33244407007863813
32,2,0.6316107198057378,0.4654134461081224
33,2,0.7386817980243431,0.3493789921854308
34,2,0.7273982059389649,0.4248611916597564
35,2,0.7153924419073812,0.40982613978203647
16,3,0.6435692627539019,0.40109338949584655
17,3,0.7937626777329998,0.3677003261781001
18,3,0.7724593006940828,0.4362490210326076
19,3,0.6149732759597966,0.4922442484367892
20,3,0.6034574428992655,0.49744185303233207
21,3,0.6676995409040211,0.5137238061103029
22,3,0.7453988478293633,0.4016850687927836
23,3,0.7250661961378567,0.5273450031686446
24,3,0.634218867151228,0.3711137865890649
25,3,0.6578403144467081,0.4941324836038709
26,3,0.6493860407266028,0.37927684126247313
27,3,0.7229406484142428,0.44691511511139037
28,3,0.683747821858149,0.4402229129685864
29,3,0.6062191607435774,0.3310923491763855
30,3,0.6055339170076994,0.34100022000922176
31,3,0.7541447278372501,0.5258296942380983
32,3,0.6249276961284187,0.4070542533210053
33,3,0.6029256681532558,0.4167959480558156
34,3,0.7323339241487514,0.4548268819179364
35,3,0.7803111524101994,0.4403382977389103
16,4,0.6105540375452445,0.40526538309183613
17,4,0.6918209201921092,0.3971629670049941
18,4,0.6069048172218139,0.4554937044677636
19,4,0.6977653085479206,0.4718682675256882
20,4,0.6729168618708314,0.34411124786591984
21,4,0.6530627120333724,0.3652148295806967
22,4,0.6921483427484385,0.36072102558319147
23,4,0.6157152547086281,0.4349798061079889
24,4,0.6281575110061519,0.35090540161292716
25,4,0.6240769479986485,0.4710789886389868
26,4,0.7613310774186821,0.4919521737150955
27,4,0.7151585597688901,0.45704142322113944
28,4,0.7507377393804083,0.4155305580430859
29,4,0.7019518377571339,0.4726091090728983
30,4,0.726777233267739,0.4517636735146229
31,4,0.7292619201704238,0.43711520167385126
32,4,0.6427837105790243,0.3911598668402369
33,4,0.7382598427562888,0.4137817700965853
34,4,0.7716856316133165,0.40482439058452685
35,4,0.7338707532137146,0.35311341386708217
16,5,0.6599076680305057,0.5002176086063591
17,5,0.635108609354764,0.4551826646041055
18,5,0.6055557331484572,0.4518572916895256
19,5,0.6902845064645206,0.5098798049994094
20,5,0.7650911849999371,0.484640662936936
21,5,0.6677386306325576,0.46380880276758524
22,5,0.6309537098454541,0.4279547315693641
23,5,0.6778741555906153,0.4239319218724217
24,5,0.6548184141245299,0.3723439301470439
25,5,0.7039702003500417,0.46072410220036014
26,5,0.7125535037651736,0.5206061572650778
27,5,0.7112898534232882,0.35984952612377186
28,5,0.7283230378518841,0.3933153762498525
29,5,0.7877077152093739,0.35598004647376813
30,5,0.6915313691695236,0.46474726875800276
31,5,0.7938996173856666,0.4343801800137958
32,5,0.6760252574234014,0.4852584125395918
33,5,0.7573920429964387,0.5127345932988475
34,5,0.7442872599302548,0.3555204737681359
35,5,0.7982888817933359,0.5161364086957156
16,6,0.6870533976278567,0.4618595073782729
17,6,0.7668584966155034,0.5133767796486073
18,6,0.7446066855436062,0.34811869308788024
19,6,0.6135657026757424,0.40325613321114273
20,6,0.6911989859160029,0.3922660728955881
21,6,0.7498975696066662,0.4827386436316751
22,6,0.6799392186751487,0.46960791906773236
23,6,0.6385058785689365,0.5202784746075424
24,6,0.6482957016220322,0.3612451300596694
25,6,0.676430540111936,0.5026097859674922
26,6,0.7196471936843355,0.4672217458929213
27,6,0.7636559779397216,0.40718141494425814
28,6,0.7919040265540935,0.5274651933728469
29,6,0.7070344146035444,0.4798733075781362
30,6,0.7707525277229788,0.44832794627268946
31,6,0.6260388703218743,0.46136100679044245
32,6,0.6911404953729167,0.5008496107886831
33,6,0.6418513669637186,0.332355349740627
34,6,0.6357679302455352,0.3641609319552405
35,6,0.6768618414280818,0.37155936725123795
